scenario,trial,expected,verdict,correct,alarm_t,latency,transition
A,0,gradual,gradual,True,101,61,46
A,1,gradual,gradual,True,96,56,39
A,2,gradual,gradual,True,94,54,41
A,3,gradual,gradual,True,85,45,31
A,4,gradual,gradual,True,95,55,37
A,5,gradual,gradual,True,65,25,21
A,6,gradual,gradual,True,86,46,34
A,7,gradual,gradual,True,65,25,19
A,8,gradual,gradual,True,70,30,33
A,9,gradual,gradual,True,80,40,19
A,10,gradual,gradual,True,112,72,37
A,11,gradual,gradual,True,97,57,31
A,12,gradual,gradual,True,101,61,60
A,13,gradual,gradual,True,115,75,47
A,14,gradual,gradual,True,101,61,55
A,15,gradual,gradual,True,94,54,40
A,16,gradual,gradual,True,76,36,30
A,17,gradual,gradual,True,91,51,48
A,18,gradual,gradual,True,94,54,34
A,19,gradual,gradual,True,94,54,41
A,20,gradual,gradual,True,101,61,55
A,21,gradual,gradual,True,99,59,41
A,22,gradual,gradual,True,96,56,45
A,23,gradual,gradual,True,80,40,31
A,24,gradual,gradual,True,92,52,32
A,25,gradual,gradual,True,94,54,52
A,26,gradual,gradual,True,91,51,42
A,27,gradual,gradual,True,98,58,33
A,28,gradual,gradual,True,102,62,45
A,29,gradual,gradual,True,93,53,44
A,30,gradual,sudden,False,60,20,12
A,31,gradual,gradual,True,90,50,39
A,32,gradual,gradual,True,86,46,27
A,33,gradual,gradual,True,62,22,20
A,34,gradual,gradual,True,82,42,34
A,35,gradual,gradual,True,99,59,46
A,36,gradual,gradual,True,60,20,14
A,37,gradual,gradual,True,100,60,57
A,38,gradual,gradual,True,95,55,50
A,39,gradual,gradual,True,100,60,55
B,0,sudden,sudden,True,48,8,5
B,1,sudden,sudden,True,47,7,6
B,2,sudden,sudden,True,49,9,7
B,3,sudden,sudden,True,48,8,6
B,4,sudden,sudden,True,47,7,5
B,5,sudden,sudden,True,47,7,7
B,6,sudden,sudden,True,48,8,11
B,7,sudden,sudden,True,48,8,6
B,8,sudden,sudden,True,49,9,6
B,9,sudden,sudden,True,48,8,6
B,10,sudden,sudden,True,47,7,6
B,11,sudden,sudden,True,48,8,7
B,12,sudden,sudden,True,47,7,7
B,13,sudden,sudden,True,48,8,5
B,14,sudden,sudden,True,47,7,5
B,15,sudden,sudden,True,48,8,6
B,16,sudden,sudden,True,47,7,6
B,17,sudden,sudden,True,47,7,6
B,18,sudden,sudden,True,48,8,5
B,19,sudden,sudden,True,48,8,5
B,20,sudden,sudden,True,48,8,6
B,21,sudden,sudden,True,48,8,6
B,22,sudden,sudden,True,48,8,6
B,23,sudden,sudden,True,46,6,5
B,24,sudden,sudden,True,48,8,6
B,25,sudden,sudden,True,48,8,6
B,26,sudden,sudden,True,48,8,5
B,27,sudden,sudden,True,46,6,5
B,28,sudden,sudden,True,47,7,8
B,29,sudden,sudden,True,48,8,7
B,30,sudden,sudden,True,48,8,9
B,31,sudden,sudden,True,48,8,6
B,32,sudden,sudden,True,48,8,8
B,33,sudden,sudden,True,48,8,12
B,34,sudden,gradual,False,46,6,13
B,35,sudden,sudden,True,49,9,6
B,36,sudden,sudden,True,48,8,9
B,37,sudden,sudden,True,48,8,8
B,38,sudden,sudden,True,48,8,6
B,39,sudden,sudden,True,47,7,6
