dataset,method,n_seeds,known_accuracy_mean,known_accuracy_std,open_set_accuracy_mean,open_set_accuracy_std,auroc_mean,auroc_std,aupr_unknown_positive_mean,aupr_unknown_positive_std,fpr_at_tpr95_mean,fpr_at_tpr95_std,unknown_precision_mean,unknown_precision_std,unknown_recall_mean,unknown_recall_std,unknown_f1_mean,unknown_f1_std
T1/11000,knn,3,0.922374,0.028516,0.998153,0.000679,1.0,0.0,1.0,0.0,0.0,0.0,0.998111,0.000693,1.0,0.0,0.999055,0.000347
T1/11000,mahalanobis,3,0.945205,0.023727,0.998696,0.000565,1.0,0.0,1.0,0.0,0.0,0.0,0.998666,0.000577,1.0,0.0,0.999332,0.000289
T1/6000,knn,3,0.901042,0.063148,0.997958,0.001303,1.0,0.0,1.0,0.0,0.0,0.0,0.997921,0.001325,1.0,0.0,0.998959,0.000664
T1/6000,mahalanobis,3,0.947917,0.054873,0.998925,0.001132,1.0,0.0,1.0,0.0,0.0,0.0,0.998905,0.001153,1.0,0.0,0.999452,0.000577
T1/8000,knn,3,0.916667,0.050227,0.998095,0.001148,1.0,0.0,1.0,0.0,0.0,0.0,0.998055,0.00117,1.0,0.0,0.999027,0.000586
T1/8000,mahalanobis,3,0.942708,0.032526,0.998691,0.000744,1.0,0.0,1.0,0.0,0.0,0.0,0.998662,0.000759,1.0,0.0,0.999331,0.00038
T2/11000,knn,3,0.948718,0.044412,0.999171,0.000718,1.0,0.0,1.0,0.0,0.0,0.0,0.999159,0.000729,1.0,0.0,0.999579,0.000365
T2/11000,mahalanobis,3,0.916667,0.011103,0.998653,0.00018,1.0,0.0,1.0,0.0,0.0,0.0,0.998633,0.000182,1.0,0.0,0.999316,9.1e-05
T2/6000,knn,3,0.969697,0.015152,0.999318,0.000342,1.0,0.0,1.0,0.0,0.0,0.0,0.999302,0.000349,1.0,0.0,0.999651,0.000175
T2/6000,mahalanobis,3,0.959596,0.023144,0.99909,0.000521,1.0,0.0,1.0,0.0,0.0,0.0,0.99907,0.000532,1.0,0.0,0.999535,0.000267
T2/8000,knn,3,0.982222,0.020367,0.999549,0.000517,1.0,0.0,1.0,0.0,0.0,0.0,0.999538,0.00053,1.0,0.0,0.999769,0.000265
T2/8000,mahalanobis,3,0.946667,0.058119,0.998647,0.001474,1.0,0.0,1.0,0.0,0.0,0.0,0.998616,0.001507,1.0,0.0,0.999307,0.000755
T3/11000,knn,3,0.938889,0.067357,0.99873,0.001399,1.0,0.0,1.0,0.0,0.0,0.0,0.998706,0.001425,1.0,0.0,0.999353,0.000713
T3/11000,mahalanobis,3,0.922222,0.053576,0.998384,0.001113,1.0,0.0,1.0,0.0,0.0,0.0,0.998354,0.001134,1.0,0.0,0.999176,0.000567
T3/6000,knn,3,0.973958,0.018042,0.99938,0.000429,1.0,0.0,1.0,0.0,0.0,0.0,0.999366,0.000439,1.0,0.0,0.999683,0.00022
T3/6000,mahalanobis,3,0.953125,0.068108,0.998885,0.00162,1.0,0.0,1.0,0.0,0.0,0.0,0.998861,0.001654,1.0,0.0,0.99943,0.000828
T3/8000,knn,3,0.957576,0.027773,0.999224,0.000508,1.0,0.0,1.0,0.0,0.0,0.0,0.99921,0.000516,1.0,0.0,0.999605,0.000259
T3/8000,mahalanobis,3,0.981818,0.018182,0.999668,0.000333,1.0,0.0,1.0,0.0,0.0,0.0,0.999661,0.000339,1.0,0.0,0.999831,0.00017
