"repository","branch","commit_sha","path_or_url","type","size","lfs_or_dvc","conditions","classes","split","schema_match","available","confidence","evidence","missing"
"Drone-Motors-Unknown-Faults-Detection/GPU-Learning-PyTorch","main","156de327373017df07e7feb4c4dd8664d70cc98a","https://download.pytorch.org/whl/cu121","D_POINTER_EXTERNAL","489","","","","","pending","unknown","Low","Build_Linux_VENV.sh external URL",""
"Drone-Motors-Unknown-Faults-Detection/GPU-Learning-PyTorch","main","156de327373017df07e7feb4c4dd8664d70cc98a","https://download.pytorch.org/whl/cu121","D_POINTER_EXTERNAL","757","","","","","pending","unknown","Low","Build_Windows_UV.bat external URL",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/exp1_cold_start/2026-08-26-11-34-13/results.csv","B_PROCESSED_DERIVED","923","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/exp1_cold_start/2026-08-26-13-17-05/results.csv","B_PROCESSED_DERIVED","923","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/exp2_scale_growth/2026-08-26-11-34-14/stages.csv","B_PROCESSED_DERIVED","933","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/exp2_scale_growth/2026-08-26-13-17-06/stages.csv","B_PROCESSED_DERIVED","436","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/exp2_scale_growth/2026-08-26-13-36-50/stages.csv","B_PROCESSED_DERIVED","436","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/exp2_scale_growth/2026-08-26-13-41-03/stages.csv","B_PROCESSED_DERIVED","975","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/exp2_scale_growth/2026-08-26-14-30-15/stages.csv","B_PROCESSED_DERIVED","955","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/exp3_trend/2026-08-26-11-34-24/trials.csv","B_PROCESSED_DERIVED","2701","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/exp3_trend/2026-08-26-13-17-09/trials.csv","B_PROCESSED_DERIVED","709","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/web_server/2026-08-26-13-30-29/samples_epoch01.csv","C_SAMPLE_DEBUG","35142","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/web_server/2026-08-26-14-17-34/samples_epoch01.csv","C_SAMPLE_DEBUG","143756","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/web_server/2026-09-17-20-31-01/samples_epoch01.csv","C_SAMPLE_DEBUG","8247","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/web_server/2026-09-17-20-31-01/samples_epoch02.csv","C_SAMPLE_DEBUG","79015","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/web_server/2026-09-17-20-31-01/samples_epoch03.csv","C_SAMPLE_DEBUG","81","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","output/web_server/2026-09-17-20-31-01/samples_epoch04.csv","C_SAMPLE_DEBUG","896591","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","https://git-lfs.github.com/spec/v1","D_POINTER_EXTERNAL","11416","","","","","pending","unknown","Low","reports/github_data_audit/audit_one_repo.ps1 external URL",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","reports/github_data_audit/branch_inventory.csv","B_PROCESSED_DERIVED","733","","","","","pending","unknown","Low","path/type candidate classification",""
"Drone-Motors-Unknown-Faults-Detection/Lineage","feat/knn-openset-comparison","1a48f22575270e6ea3ca36a4ec9979282d857957","https://download.pytorch.org/whl/cu121","D_POINTER_EXTERNAL","679","","","","","pending","unknown","Low","reports/github_data_audit/data_candidates.csv external URL",""
