index,method,dataset,health_gap_known_minus_unknown_mean,health_gap_known_minus_unknown_std,open_set_accuracy_mean,open_set_accuracy_std,auroc_mean,auroc_std,unknown_recall_mean,unknown_recall_std,unknown_f1_mean,unknown_f1_std,known_health_mean_mean,known_health_mean_std,unknown_health_mean_mean,unknown_health_mean_std
0,knn,T1/11000,0.5721783333333333,0.023939278692837296,0.9981526666666666,0.0006786231158260379,1.0,0.0,1.0,0.0,0.9990546666666668,0.000346677563931294,0.5721783333333333,0.023939278692837296,0.0,0.0
1,knn,T1/6000,0.58587,0.09294933788360195,0.997958,0.0013028733629942653,1.0,0.0,1.0,0.0,0.998959,0.0006638704692935293,0.58587,0.09294933788360195,0.0,0.0
2,knn,T1/8000,0.5736476666666667,0.044300757559361574,0.9980953333333332,0.0011479574614650765,1.0,0.0,1.0,0.0,0.9990266666666666,0.0005861888205462467,0.5736476666666667,0.044300757559361574,0.0,0.0
3,knn,T2/11000,0.5867116666666666,0.10453371852341882,0.9991713333333333,0.0007176463846026613,1.0,0.0,1.0,0.0,0.9995786666666667,0.0003648853701278318,0.5867116666666666,0.10453371852341882,0.0,0.0
4,knn,T2/6000,0.6512359999999999,0.020384109767169194,0.9993176666666667,0.00034150012201070976,1.0,0.0,1.0,0.0,0.9996513333333333,0.00017450023877737343,0.6512359999999999,0.020384109767169194,0.0,0.0
5,knn,T2/8000,0.630541,0.07023186054775994,0.999549,0.0005168491075739602,1.0,0.0,1.0,0.0,0.999769,0.00026480747723583477,0.630541,0.07023186054775994,0.0,0.0
6,knn,T3/11000,0.574182,0.11525808582915131,0.9987303333333334,0.0013993321025880042,1.0,0.0,1.0,0.0,0.9993526666666668,0.000713275075502651,0.574182,0.11525808582915131,0.0,0.0
7,knn,T3/6000,0.6366033333333333,0.08418493159902983,0.9993803333333333,0.00042897125000785626,1.0,0.0,1.0,0.0,0.999683,0.00021997045256122704,0.6366033333333333,0.08418493159902983,0.0,0.0
8,knn,T3/8000,0.6039386666666667,0.08827848236877057,0.9992243333333333,0.0005081203925580664,1.0,0.0,1.0,0.0,0.999605,0.0002585884761546942,0.6039386666666667,0.08827848236877057,0.0,0.0
9,mahalanobis,T1/11000,0.5607383333333333,0.025519705059685364,0.9986959999999999,0.0005646485632674258,1.0,0.0,1.0,0.0,0.9993323333333333,0.0002886751345948612,0.5607383333333333,0.025519705059685364,0.0,0.0
10,mahalanobis,T1/6000,0.6330636666666667,0.09786062833097561,0.9989253333333333,0.0011323455008667687,1.0,0.0,1.0,0.0,0.9994516666666667,0.0005774204129863482,0.6330636666666667,0.09786062833097561,0.0,0.0
11,mahalanobis,T1/8000,0.5331626666666667,0.0464469440150085,0.9986906666666666,0.000743715223276615,1.0,0.0,1.0,0.0,0.9993306666666667,0.00037982408208709983,0.5331626666666667,0.0464469440150085,0.0,0.0
12,mahalanobis,T2/11000,0.5195376666666667,0.0546192201549357,0.9986533333333334,0.00017955593371799295,1.0,0.0,1.0,0.0,0.9993156666666666,9.064399226282985e-05,0.5195376666666667,0.0546192201549357,0.0,0.0
13,mahalanobis,T2/6000,0.652219,0.04394592045912796,0.9990899999999999,0.0005214316829652402,1.0,0.0,1.0,0.0,0.999535,0.0002667714377514836,0.652219,0.04394592045912796,0.0,0.0
14,mahalanobis,T2/8000,0.590608,0.0785268601944583,0.9986473333333333,0.001474454927535412,1.0,0.0,1.0,0.0,0.999307,0.00075500728473311,0.590608,0.0785268601944583,0.0,0.0
15,mahalanobis,T3/11000,0.5662486666666667,0.1076345601576619,0.998384,0.0011133750491187024,1.0,0.0,1.0,0.0,0.9991756666666666,0.0005674718788921076,0.5662486666666667,0.1076345601576619,0.0,0.0
16,mahalanobis,T3/6000,0.5836333333333333,0.059653221374317535,0.998885,0.0016197898011779271,1.0,0.0,1.0,0.0,0.9994299999999999,0.000828190799272738,0.5836333333333333,0.059653221374317535,0.0,0.0
17,mahalanobis,T3/8000,0.6090886666666666,0.0908509577403196,0.9996676666666667,0.00033250012531324525,1.0,0.0,1.0,0.0,0.9998306666666666,0.00016950024582088082,0.6090886666666666,0.0908509577403196,0.0,0.0
