"archive_path","entry_path","depth","entry_kind","uncompressed_size_bytes","compressed_size_bytes","last_write_time"
"馬達研究\階段1.zip","階段1/","0","directory","0","0","2025-06-30T18:24:28.0000000+08:00"
"馬達研究\階段1.zip","階段1/csv.zip","0","nested_archive","1573706417","1574186100","2025-06-30T18:24:12.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip","csv/","1","directory","0","0","2025-06-30T18:23:38.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip","csv/T1/","1","directory","0","0","2025-06-30T18:23:16.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip","csv/T1/11000rpm.zip","1","nested_archive","527866773","526696092","2025-06-30T18:22:16.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/","2","directory","0","0","2025-02-18T12:20:38.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/","2","directory","0","0","2025-04-17T10:30:38.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/T1_Acceleration_X_data.csv","2","file","57151966","15177391","2025-04-23T10:48:36.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/T1_Acceleration_Y_data.csv","2","file","57858569","15228222","2025-04-23T10:49:24.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/T1_Acceleration_Z_data.csv","2","file","57203759","15250273","2025-04-23T10:50:06.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/T1_Current_data.csv","2","file","53129520","5787631","2025-04-23T10:50:52.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/T1_Delta_T_data.csv","2","file","102550782","1426352","2025-04-23T10:51:42.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/","2","directory","0","0","2025-04-17T10:28:32.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/T1_Acceleration_X_data.csv","2","file","56801552","15234864","2025-04-23T10:44:06.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/T1_Acceleration_Y_data.csv","2","file","57676358","15135312","2025-04-23T10:44:54.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/T1_Acceleration_Z_data.csv","2","file","56950124","15353976","2025-04-23T10:45:38.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/T1_Current_data.csv","2","file","52940189","5671942","2025-04-23T10:46:22.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/T1_Delta_T_data.csv","2","file","99418779","1372234","2025-04-23T10:47:10.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/","2","directory","0","0","2025-04-17T10:26:24.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/T1_Acceleration_X_data.csv","2","file","57218481","15411156","2025-04-23T10:39:16.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/T1_Acceleration_Y_data.csv","2","file","57419728","15132377","2025-04-23T10:40:08.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/T1_Acceleration_Z_data.csv","2","file","57112267","15473313","2025-04-23T10:40:54.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/T1_Current_data.csv","2","file","53132619","5813127","2025-04-23T10:41:42.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/T1_Delta_T_data.csv","2","file","100006002","1398428","2025-04-23T10:42:34.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/","2","directory","0","0","2025-04-17T10:32:20.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/T1_Acceleration_X_data.csv","2","file","56968358","15160451","2025-04-23T10:53:08.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/T1_Acceleration_Y_data.csv","2","file","57796655","15168812","2025-04-23T10:53:56.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/T1_Acceleration_Z_data.csv","2","file","57112726","15402558","2025-04-23T10:54:34.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/T1_Current_data.csv","2","file","53123099","5782410","2025-04-23T10:55:10.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/T1_Delta_T_data.csv","2","file","100753329","1401157","2025-04-23T10:55:50.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/","2","directory","0","0","2025-04-17T10:24:16.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/T1_Acceleration_X_data.csv","2","file","57088687","15288504","2025-04-23T10:34:26.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/T1_Acceleration_Y_data.csv","2","file","57365947","15283990","2025-04-23T10:35:16.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/T1_Acceleration_Z_data.csv","2","file","57114773","15457795","2025-04-23T10:36:02.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/T1_Current_data.csv","2","file","52953734","5695820","2025-04-23T10:36:50.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/T1_Delta_T_data.csv","2","file","100544761","1400919","2025-04-23T10:37:42.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/","2","directory","0","0","2025-04-17T10:34:00.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/T1_Acceleration_X_data.csv","2","file","57060939","14818600","2025-04-23T10:56:50.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/T1_Acceleration_Y_data.csv","2","file","58176784","14997001","2025-04-23T10:57:18.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/T1_Acceleration_Z_data.csv","2","file","57329056","14944327","2025-04-23T10:57:40.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/T1_Current_data.csv","2","file","53191154","5876892","2025-04-23T10:57:58.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/T1_Delta_T_data.csv","2","file","100432675","1400298","2025-04-23T10:58:16.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/","2","directory","0","0","2025-04-17T10:22:06.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/T1_Acceleration_X_data.csv","2","file","57334458","15366879","2025-04-23T10:29:18.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/T1_Acceleration_Y_data.csv","2","file","57434789","15146089","2025-04-23T10:30:12.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/T1_Acceleration_Z_data.csv","2","file","57146832","15471224","2025-04-23T10:31:08.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/T1_Current_data.csv","2","file","53170319","5803997","2025-04-23T10:32:00.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/T1_Delta_T_data.csv","2","file","102668671","1422618","2025-04-23T10:32:54.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/","2","directory","0","0","2025-04-17T10:19:54.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/T1_Acceleration_X_data.csv","2","file","57243416","15236318","2025-04-23T10:23:36.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/T1_Acceleration_Y_data.csv","2","file","58047462","15050326","2025-04-23T10:24:34.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/T1_Acceleration_Z_data.csv","2","file","57186224","15345188","2025-04-23T10:25:28.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/T1_Current_data.csv","2","file","53189375","5708996","2025-04-23T10:26:28.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/T1_Delta_T_data.csv","2","file","102022302","1408869","2025-04-23T10:27:30.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/7screws/","2","directory","0","0","2025-04-17T10:17:50.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/7screws/T1_Acceleration_X_data.csv","2","file","57485761","15082079","2025-04-23T10:17:58.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/7screws/T1_Acceleration_Y_data.csv","2","file","57914355","15112745","2025-04-23T10:18:54.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/7screws/T1_Acceleration_Z_data.csv","2","file","57429077","15169721","2025-04-23T10:19:52.0000000+08:00"
"馬達研究\階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/7screws/T1_Current_data.csv","2","file","52983619","5673736","2025-04-23T10:20:50.0000000+08:00"
