"source_archive","source_entry","candidate_category","format","size_bytes","rows","columns","condition","class_name","class_role","sampling_rate_hz","confidence","evidence"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/T1_Acceleration_X_data.csv","A_FORMAL_RAW","CSV","57151966","10000","600","T1/11000rpm","1screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/T1_Acceleration_Y_data.csv","A_FORMAL_RAW","CSV","57858569","10000","600","T1/11000rpm","1screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/T1_Acceleration_Z_data.csv","A_FORMAL_RAW","CSV","57203759","10000","600","T1/11000rpm","1screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/T1_Current_data.csv","A_FORMAL_RAW","CSV","53129520","10000","599","T1/11000rpm","1screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/1screws/T1_Delta_T_data.csv","A_FORMAL_RAW","CSV","102550782","10000","588","T1/11000rpm","1screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/T1_Acceleration_X_data.csv","A_FORMAL_RAW","CSV","56801552","10000","600","T1/11000rpm","2screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/T1_Acceleration_Y_data.csv","A_FORMAL_RAW","CSV","57676358","10000","600","T1/11000rpm","2screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/T1_Acceleration_Z_data.csv","A_FORMAL_RAW","CSV","56950124","10000","600","T1/11000rpm","2screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/T1_Current_data.csv","A_FORMAL_RAW","CSV","52940189","10000","597","T1/11000rpm","2screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/2screws/T1_Delta_T_data.csv","A_FORMAL_RAW","CSV","99418779","10000","571","T1/11000rpm","2screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/T1_Acceleration_X_data.csv","A_FORMAL_RAW","CSV","57218481","10000","600","T1/11000rpm","3screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/T1_Acceleration_Y_data.csv","A_FORMAL_RAW","CSV","57419728","10000","600","T1/11000rpm","3screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/T1_Acceleration_Z_data.csv","A_FORMAL_RAW","CSV","57112267","10000","600","T1/11000rpm","3screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/T1_Current_data.csv","A_FORMAL_RAW","CSV","53132619","10000","599","T1/11000rpm","3screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3screws/T1_Delta_T_data.csv","A_FORMAL_RAW","CSV","100006002","10000","573","T1/11000rpm","3screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/T1_Acceleration_X_data.csv","A_FORMAL_RAW","CSV","56968358","10000","600","T1/11000rpm","3_14screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/T1_Acceleration_Y_data.csv","A_FORMAL_RAW","CSV","57796655","10000","600","T1/11000rpm","3_14screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/T1_Acceleration_Z_data.csv","A_FORMAL_RAW","CSV","57112726","10000","600","T1/11000rpm","3_14screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/T1_Current_data.csv","A_FORMAL_RAW","CSV","53123099","10000","599","T1/11000rpm","3_14screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/3_14screws/T1_Delta_T_data.csv","A_FORMAL_RAW","CSV","100753329","10000","577","T1/11000rpm","3_14screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/T1_Acceleration_X_data.csv","A_FORMAL_RAW","CSV","57088687","10000","600","T1/11000rpm","4screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/T1_Acceleration_Y_data.csv","A_FORMAL_RAW","CSV","57365947","10000","600","T1/11000rpm","4screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/T1_Acceleration_Z_data.csv","A_FORMAL_RAW","CSV","57114773","10000","600","T1/11000rpm","4screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/T1_Current_data.csv","A_FORMAL_RAW","CSV","52953734","10000","597","T1/11000rpm","4screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4screws/T1_Delta_T_data.csv","A_FORMAL_RAW","CSV","100544761","10000","577","T1/11000rpm","4screws","known_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/T1_Acceleration_X_data.csv","A_FORMAL_RAW","CSV","57060939","10000","600","T1/11000rpm","4_146screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/T1_Acceleration_Y_data.csv","A_FORMAL_RAW","CSV","58176784","10000","600","T1/11000rpm","4_146screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/T1_Acceleration_Z_data.csv","A_FORMAL_RAW","CSV","57329056","10000","600","T1/11000rpm","4_146screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/T1_Current_data.csv","A_FORMAL_RAW","CSV","53191154","10000","599","T1/11000rpm","4_146screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/4_146screws/T1_Delta_T_data.csv","A_FORMAL_RAW","CSV","100432675","10000","576","T1/11000rpm","4_146screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/T1_Acceleration_X_data.csv","A_FORMAL_RAW","CSV","57334458","10000","600","T1/11000rpm","5screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/T1_Acceleration_Y_data.csv","A_FORMAL_RAW","CSV","57434789","10000","600","T1/11000rpm","5screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/T1_Acceleration_Z_data.csv","A_FORMAL_RAW","CSV","57146832","10000","600","T1/11000rpm","5screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/T1_Current_data.csv","A_FORMAL_RAW","CSV","53170319","10000","599","T1/11000rpm","5screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/5screws/T1_Delta_T_data.csv","A_FORMAL_RAW","CSV","102668671","10000","589","T1/11000rpm","5screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/T1_Acceleration_X_data.csv","A_FORMAL_RAW","CSV","57243416","10000","600","T1/11000rpm","6screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/T1_Acceleration_Y_data.csv","A_FORMAL_RAW","CSV","58047462","10000","600","T1/11000rpm","6screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/T1_Acceleration_Z_data.csv","A_FORMAL_RAW","CSV","57186224","10000","600","T1/11000rpm","6screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/T1_Current_data.csv","A_FORMAL_RAW","CSV","53189375","10000","599","T1/11000rpm","6screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/6screws/T1_Delta_T_data.csv","A_FORMAL_RAW","CSV","102022302","10000","586","T1/11000rpm","6screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
"階段1.zip::階段1/csv.zip::csv/T1/11000rpm.zip","11000rpm/7screws/T1_Acceleration_X_data.csv","A_FORMAL_RAW","CSV","57485761","10000","600","T1/11000rpm","7screws","unknown_fault","10000","High","nine condition archives; ten screw configurations x five channels; preprocessing scripts state Fs=10000"
