"absolute_path","relative_path","filename","extension","size_bytes","creation_time","last_write_time","file_type","candidate_category","is_archive","is_hidden","is_reparse_point","is_symlink","analysis_status","error"
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_figure_11000_1.py","馬達研究\Step1_Data_Preprocessing_figure_11000_1.py","Step1_Data_Preprocessing_figure_11000_1.py",".py","6713","2026-06-26T22:57:46.1120777+08:00","2026-04-09T12:41:53.0936777+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_figure_11000_2.py","馬達研究\Step1_Data_Preprocessing_figure_11000_2.py","Step1_Data_Preprocessing_figure_11000_2.py",".py","6616","2026-06-26T22:57:46.1854928+08:00","2026-04-09T12:41:53.1166055+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_figure_6000_1.py","馬達研究\Step1_Data_Preprocessing_figure_6000_1.py","Step1_Data_Preprocessing_figure_6000_1.py",".py","6670","2026-06-26T22:57:46.2523098+08:00","2026-04-09T12:41:53.1344366+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_figure_6000_2.py","馬達研究\Step1_Data_Preprocessing_figure_6000_2.py","Step1_Data_Preprocessing_figure_6000_2.py",".py","6306","2026-06-26T22:57:46.3305840+08:00","2026-04-09T12:41:53.1464381+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_figure_8000_1.py","馬達研究\Step1_Data_Preprocessing_figure_8000_1.py","Step1_Data_Preprocessing_figure_8000_1.py",".py","12224","2026-06-26T22:57:46.3966241+08:00","2026-04-09T12:41:53.1564338+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_figure_8000_2.py","馬達研究\Step1_Data_Preprocessing_figure_8000_2.py","Step1_Data_Preprocessing_figure_8000_2.py",".py","3754","2026-06-26T22:57:46.5414256+08:00","2026-04-09T12:41:53.1654334+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_save_11000_1.py","馬達研究\Step1_Data_Preprocessing_save_11000_1.py","Step1_Data_Preprocessing_save_11000_1.py",".py","3940","2026-06-26T22:57:46.6635446+08:00","2026-04-09T12:41:53.1724335+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_save_11000_2.py","馬達研究\Step1_Data_Preprocessing_save_11000_2.py","Step1_Data_Preprocessing_save_11000_2.py",".py","3896","2026-06-26T22:57:46.7421557+08:00","2026-04-09T12:41:53.1804338+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_save_11000_3.py","馬達研究\Step1_Data_Preprocessing_save_11000_3.py","Step1_Data_Preprocessing_save_11000_3.py",".py","3894","2026-06-26T22:57:46.8191610+08:00","2026-04-09T12:41:53.1874335+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_save_6000_1.py","馬達研究\Step1_Data_Preprocessing_save_6000_1.py","Step1_Data_Preprocessing_save_6000_1.py",".py","3934","2026-06-26T22:57:46.8963146+08:00","2026-04-09T12:41:53.1954332+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_save_6000_2.py","馬達研究\Step1_Data_Preprocessing_save_6000_2.py","Step1_Data_Preprocessing_save_6000_2.py",".py","3888","2026-06-26T22:57:46.9738378+08:00","2026-04-09T12:41:53.2024336+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_save_6000_3.py","馬達研究\Step1_Data_Preprocessing_save_6000_3.py","Step1_Data_Preprocessing_save_6000_3.py",".py","3888","2026-06-26T22:57:47.0294473+08:00","2026-04-09T12:41:53.2104388+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_save_8000_1.py","馬達研究\Step1_Data_Preprocessing_save_8000_1.py","Step1_Data_Preprocessing_save_8000_1.py",".py","3957","2026-06-26T22:57:47.1066900+08:00","2026-04-09T12:41:53.2184386+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_save_8000_2.py","馬達研究\Step1_Data_Preprocessing_save_8000_2.py","Step1_Data_Preprocessing_save_8000_2.py",".py","3886","2026-06-26T22:57:47.1856986+08:00","2026-04-09T12:41:53.2259512+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step1_Data_Preprocessing_save_8000_3.py","馬達研究\Step1_Data_Preprocessing_save_8000_3.py","Step1_Data_Preprocessing_save_8000_3.py",".py","3888","2026-06-26T22:57:47.2751560+08:00","2026-04-09T12:41:53.2389515+08:00","Python source","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step2_Feature_Extraction_11000_1.py","馬達研究\Step2_Feature_Extraction_11000_1.py","Step2_Feature_Extraction_11000_1.py",".py","12274","2026-06-26T22:57:47.3525465+08:00","2026-04-09T12:41:53.2469519+08:00","Python source","processed_feature","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step2_Feature_Extraction_11000_2.py","馬達研究\Step2_Feature_Extraction_11000_2.py","Step2_Feature_Extraction_11000_2.py",".py","11714","2026-06-26T22:57:47.4304552+08:00","2026-04-09T12:41:53.2550729+08:00","Python source","processed_feature","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step2_Feature_Extraction_11000_3.py","馬達研究\Step2_Feature_Extraction_11000_3.py","Step2_Feature_Extraction_11000_3.py",".py","11714","2026-06-26T22:57:47.5079869+08:00","2026-04-09T12:41:53.2630738+08:00","Python source","processed_feature","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step2_Feature_Extraction_6000_1.py","馬達研究\Step2_Feature_Extraction_6000_1.py","Step2_Feature_Extraction_6000_1.py",".py","12329","2026-06-26T22:57:47.5858393+08:00","2026-04-09T12:41:53.2700739+08:00","Python source","processed_feature","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step2_Feature_Extraction_6000_2.py","馬達研究\Step2_Feature_Extraction_6000_2.py","Step2_Feature_Extraction_6000_2.py",".py","12055","2026-06-26T22:57:47.6634025+08:00","2026-04-09T12:41:53.2780746+08:00","Python source","processed_feature","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step2_Feature_Extraction_6000_3.py","馬達研究\Step2_Feature_Extraction_6000_3.py","Step2_Feature_Extraction_6000_3.py",".py","11700","2026-06-26T22:57:47.7407797+08:00","2026-04-09T12:41:53.2860741+08:00","Python source","processed_feature","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step2_Feature_Extraction_8000_1.py","馬達研究\Step2_Feature_Extraction_8000_1.py","Step2_Feature_Extraction_8000_1.py",".py","14159","2026-06-26T22:57:47.8303718+08:00","2026-04-09T12:41:53.2942739+08:00","Python source","processed_feature","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step2_Feature_Extraction_8000_2.py","馬達研究\Step2_Feature_Extraction_8000_2.py","Step2_Feature_Extraction_8000_2.py",".py","11707","2026-06-26T22:57:47.9965019+08:00","2026-04-09T12:41:53.3035339+08:00","Python source","processed_feature","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step2_Feature_Extraction_8000_3.py","馬達研究\Step2_Feature_Extraction_8000_3.py","Step2_Feature_Extraction_8000_3.py",".py","12049","2026-06-26T22:57:48.0737569+08:00","2026-04-09T12:41:53.3105374+08:00","Python source","processed_feature","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 1.ipynb","馬達研究\Step3_Model 1.ipynb","Step3_Model 1.ipynb",".ipynb","150986","2026-06-26T22:57:48.1502425+08:00","2026-04-09T12:41:53.3169681+08:00","Jupyter notebook","preprocessing_code","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 10__OneStage.ipynb","馬達研究\Step3_Model 10__OneStage.ipynb","Step3_Model 10__OneStage.ipynb",".ipynb","150424","2026-06-26T22:57:48.2068428+08:00","2026-04-09T12:41:53.3244551+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 10__TwoStage.ipynb","馬達研究\Step3_Model 10__TwoStage.ipynb","Step3_Model 10__TwoStage.ipynb",".ipynb","150980","2026-06-26T22:57:48.2744019+08:00","2026-04-09T12:41:53.3304550+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 11__OneStage.ipynb","馬達研究\Step3_Model 11__OneStage.ipynb","Step3_Model 11__OneStage.ipynb",".ipynb","231364","2026-06-26T22:57:48.3522059+08:00","2026-04-09T12:41:53.3364557+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 11__TwoStage.ipynb","馬達研究\Step3_Model 11__TwoStage.ipynb","Step3_Model 11__TwoStage.ipynb",".ipynb","230981","2026-06-26T22:57:48.4189321+08:00","2026-04-09T12:41:53.3434551+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 12__OneStage.ipynb","馬達研究\Step3_Model 12__OneStage.ipynb","Step3_Model 12__OneStage.ipynb",".ipynb","153757","2026-06-26T22:57:48.4732389+08:00","2026-04-09T12:41:53.3496676+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 12__TwoStage.ipynb","馬達研究\Step3_Model 12__TwoStage.ipynb","Step3_Model 12__TwoStage.ipynb",".ipynb","150587","2026-06-26T22:57:48.5639658+08:00","2026-04-09T12:41:53.3546673+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 13__OneStage.ipynb","馬達研究\Step3_Model 13__OneStage.ipynb","Step3_Model 13__OneStage.ipynb",".ipynb","155298","2026-06-26T22:57:48.6298610+08:00","2026-04-09T12:41:53.3620951+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 13__TwoStage.ipynb","馬達研究\Step3_Model 13__TwoStage.ipynb","Step3_Model 13__TwoStage.ipynb",".ipynb","158363","2026-06-26T22:57:48.7074806+08:00","2026-04-09T12:41:53.3770949+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 14__OneStage.ipynb","馬達研究\Step3_Model 14__OneStage.ipynb","Step3_Model 14__OneStage.ipynb",".ipynb","213546","2026-06-26T22:57:48.7737975+08:00","2026-04-09T12:41:53.3820945+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 14__TwoStage.ipynb","馬達研究\Step3_Model 14__TwoStage.ipynb","Step3_Model 14__TwoStage.ipynb",".ipynb","227709","2026-06-26T22:57:48.8413510+08:00","2026-04-09T12:41:53.3880949+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
"D:\schoolshit\fcu\專題\馬達研究\馬達研究\Step3_Model 15__OneStage.ipynb","馬達研究\Step3_Model 15__OneStage.ipynb","Step3_Model 15__OneStage.ipynb",".ipynb","146599","2026-06-26T22:57:48.9075501+08:00","2026-04-09T12:41:53.3940949+08:00","Jupyter notebook","raw_or_source","False","False","False","False","metadata_only",""
